"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Ostorhinchus_doederleini","apogonidae","fourline_cardinalfish","teleost","194","mean","2.68","mean","3.6","0.56"
"Boreogadus_saida","gadidae","arctic_cod","teleost","82.56","mean","23.3","mean","3.1","0.11"
"Poromitra_crassiceps","melamphaidae","crested_bigscale","teleost","0.032","mean","4.5","middle","3.1","0.3"
"Electrona_antarctica","myctophidae","antarctic_lanternfish","teleost","0.047","mean","4.6","middle","3.2","0.35"
"Gymnoscopelus_braueri","myctophidae","brauer’s_lanternfish","teleost","0.027","mean","12.2","middle","3.2","0.32"
"Squalus_acanthias","squalidae","spiny_dogfish","elasmo","92.06","mean","2400","mean","4.4","0.41"
"Squalus_acanthias","squalidae","spiny_dogfish","elasmo","121.87","mean","2400","mean","4.4","0.41"
"Squalus_acanthias","squalidae","spiny_dogfish","elasmo","149.08","mean","2400","mean","4.4","0.41"
"Squalus_acanthias","squalidae","spiny_dogfish","elasmo","156.03","mean","2400","mean","4.4","0.41"
"Squalus_acanthias","squalidae","spiny_dogfish","elasmo","152.21","mean","2400","mean","4.4","0.41"
"Carcharhinus_leucas","carcharhinidae","bull_shark","elasmo","230.04","mean","2810","mean","4.3","0.46"
"Carcharhinus_leucas","carcharhinidae","bull_shark","elasmo","351.41","mean","2730","mean","4.3","0.46"
"Carcharhinus_leucas","carcharhinidae","bull_shark","elasmo","355.54","mean","2750","mean","4.3","0.46"
"Katsuwonus_pelamis","scombridae","skipjack_tuna","teleost","1885","mean","1700","mean","4.4","0.47"
